n,id,time,map_x,map_y,yaw
1,co-a4-hc-1.7mm-1,14:57:16,-0.0109,-0.0460,-1.2576
7,co-a4-hc-1.2mm-1,14:57:21,0.0288,-0.0384,-1.2045
1,co-a4-hc-1.7mm-1,15:00:24,-0.4426,0.0693,-0.1778
2,co-a4-hc-2mm-1,15:00:28,-0.4336,0.0741,-0.1369
4,co-a4-hc-2.4mm-1,15:00:32,-0.4588,-0.0841,-0.1944
7,co-a4-hc-2mm-1,15:00:35,-0.4591,-0.0948,-0.2084
8,co-a4-hc-1mm-1,15:00:39,-0.4489,-0.0212,-0.1073
