"Born2Shine"
"Thailand"
"22/06/2026"
"09:44:49"
detection,detectedtime,qrcode detected data
1,09:44:49,co-a4-hc-1mm-1
2,09:44:49,co-a4-hc-3.4mm-1
3,09:44:52,co-a4-hc-2.8mm-1
4,09:44:55,co-a4-hc-1.4mm-1
5,09:44:55,co-a4-hc-1.7mm-1
6,09:44:55,co-a4-hc-2mm-1
7,09:44:55,co-a4-hc-3.4mm-1
8,09:44:55,co-a4-hc-2.4mm-1
9,09:44:57,co-a4-hc-2.8mm-1
10,09:45:00,co-a4-hc-3.4mm-1
11,09:45:01,co-a4-hc-2mm-1
12,09:45:01,co-a4-hc-1.2mm-1
13,09:45:01,co-a4-hc-1.4mm-1
14,09:45:04,co-a4-hc-2.8mm-1
15,09:45:04,co-a4-hc-1.7mm-1
16,09:45:04,co-a4-hc-2.4mm-1
17,09:45:05,co-a4-hc-3.4mm-1
18,09:45:06,co-a4-hc-1.4mm-1
19,09:45:06,co-a4-hc-2mm-1
20,09:45:08,co-a4-hc-1.2mm-1
21,09:45:08,co-a4-hc-1mm-1
22,09:45:09,co-a4-hc-2.8mm-1
23,09:45:09,co-a4-hc-1.7mm-1
24,09:45:09,co-a4-hc-2.4mm-1
25,09:45:10,co-a4-hc-3.4mm-1
26,09:45:11,co-a4-hc-1.4mm-1
27,09:45:11,co-a4-hc-2mm-1
