"Born2Shine"
"Thailand"
"24/06/2026"
"09:27:38"
detection,detectedtime,qrcode detected data
1,09:27:38,co-a4-hc-1.4mm-1
2,09:27:38,co-a4-hc-1.7mm-1
3,09:27:38,co-a4-hc-2mm-1
4,09:27:38,co-a4-hc-2.4mm-1
5,09:27:38,co-a4-hc-2.8mm-1
6,09:27:38,co-a4-hc-3.4mm-1
7,09:27:41,co-a4-hc-1.2mm-1
8,09:27:43,co-a4-hc-1.4mm-1
9,09:27:43,co-a4-hc-1.7mm-1
10,09:27:43,co-a4-hc-2mm-1
11,09:27:43,co-a4-hc-2.4mm-1
12,09:27:43,co-a4-hc-2.8mm-1
13,09:27:43,co-a4-hc-3.4mm-1
14,09:27:46,co-a4-hc-1mm-1
15,09:27:46,co-a4-hc-1.2mm-1
16,09:27:49,co-a4-hc-1.7mm-1
17,09:27:49,co-a4-hc-2mm-1
18,09:27:49,co-a4-hc-2.4mm-1
19,09:27:49,co-a4-hc-2.8mm-1
20,09:27:49,co-a4-hc-3.4mm-1
21,09:27:49,co-a4-hc-1.4mm-1
22,09:27:52,co-a4-hc-1.2mm-1
23,09:27:54,co-a4-hc-2mm-1
24,09:27:54,co-a4-hc-2.4mm-1
25,09:27:54,co-a4-hc-2.8mm-1
26,09:27:54,co-a4-hc-3.4mm-1
27,09:27:54,co-a4-hc-1.4mm-1
28,09:27:54,co-a4-hc-1.7mm-1
29,09:27:59,co-a4-hc-1.2mm-1
30,09:27:59,co-a4-hc-2mm-1
31,09:27:59,co-a4-hc-2.4mm-1
32,09:27:59,co-a4-hc-2.8mm-1
33,09:27:59,co-a4-hc-3.4mm-1
34,09:28:00,co-a4-hc-1.4mm-1
35,09:28:00,co-a4-hc-1.7mm-1
36,09:28:04,co-a4-hc-1.2mm-1
37,09:28:04,co-a4-hc-2mm-1
38,09:28:04,co-a4-hc-2.4mm-1
39,09:28:04,co-a4-hc-2.8mm-1
40,09:28:04,co-a4-hc-3.4mm-1
41,09:28:06,co-a4-hc-1.4mm-1
42,09:28:06,co-a4-hc-1.7mm-1
43,09:28:09,co-a4-hc-1.2mm-1
44,09:28:09,co-a4-hc-2mm-1
45,09:28:09,co-a4-hc-2.4mm-1
46,09:28:09,co-a4-hc-2.8mm-1
47,09:28:09,co-a4-hc-3.4mm-1
48,09:28:10,co-a4-hc-1mm-1
49,09:28:11,co-a4-hc-1.4mm-1
50,09:28:11,co-a4-hc-1.7mm-1
51,09:28:14,co-a4-hc-2mm-1
52,09:28:14,co-a4-hc-2.4mm-1
53,09:28:14,co-a4-hc-2.8mm-1
54,09:28:14,co-a4-hc-3.4mm-1
55,09:28:15,co-a4-hc-1.2mm-1
56,09:28:16,co-a4-hc-1.4mm-1
57,09:28:16,co-a4-hc-1.7mm-1
58,09:28:20,co-a4-hc-2mm-1
