"Born2Shine"
"Thailand"
"24/06/2026"
"11:46:59"
detection,detectedtime,qrcode detected data
1,11:46:59,co-a4-hc-1.2mm-1
2,11:46:59,co-a4-hc-1.4mm-1
3,11:46:59,co-a4-hc-2mm-1
4,11:46:59,co-a4-hc-2.4mm-1
5,11:46:59,co-a4-hc-2.8mm-1
6,11:46:59,co-a4-hc-3.4mm-1
7,11:47:05,co-a4-hc-3.4mm-1
8,11:47:05,co-a4-hc-1.4mm-1
9,11:47:05,co-a4-hc-1.7mm-1
10,11:47:05,co-a4-hc-2mm-1
11,11:47:05,co-a4-hc-2.4mm-1
12,11:47:05,co-a4-hc-2.8mm-1
13,11:47:07,co-a4-hc-1mm-1
14,11:47:07,co-a4-hc-1.2mm-1
15,11:47:10,co-a4-hc-3.4mm-1
16,11:47:10,co-a4-hc-1.4mm-1
17,11:47:10,co-a4-hc-1.7mm-1
18,11:47:10,co-a4-hc-2mm-1
19,11:47:10,co-a4-hc-2.4mm-1
20,11:47:10,co-a4-hc-2.8mm-1
21,11:47:12,co-a4-hc-1mm-1
22,11:47:12,co-a4-hc-1.2mm-1
23,11:47:15,co-a4-hc-3.4mm-1
24,11:47:16,co-a4-hc-1.4mm-1
25,11:47:16,co-a4-hc-1.7mm-1
26,11:47:16,co-a4-hc-2mm-1
27,11:47:16,co-a4-hc-2.4mm-1
28,11:47:16,co-a4-hc-2.8mm-1
29,11:47:17,co-a4-hc-1mm-1
30,11:47:17,co-a4-hc-1.2mm-1
