"Born2Shine"
"Thailand"
"25/06/2026"
"14:30:53"
detection,detectedtime,qrcode detected data
1,14:30:54,co-a4-hc-1mm-1
2,14:30:54,co-a4-hc-1.2mm-1
3,14:30:54,co-a4-hc-3.4mm-1
4,14:30:55,co-a4-hc-1.7mm-1
5,14:30:55,co-a4-hc-2mm-1
6,14:30:55,co-a4-hc-2.4mm-1
7,14:30:55,co-a4-hc-2.8mm-1
8,14:30:55,co-a4-hc-1.4mm-1
9,14:30:59,co-a4-hc-1.2mm-1
10,14:32:31,co-a4-hc-1.4mm-1
11,14:32:31,co-a4-hc-1.7mm-1
12,14:32:31,co-a4-hc-2mm-1
13,14:32:31,co-a4-hc-2.8mm-1
14,14:32:31,co-a4-hc-3.4mm-1
15,14:32:31,co-a4-hc-2.4mm-1
16,14:32:37,co-a4-hc-2mm-1
17,14:32:37,co-a4-hc-2.4mm-1
18,14:32:37,co-a4-hc-3.4mm-1
19,14:32:37,co-a4-hc-1.4mm-1
20,14:32:37,co-a4-hc-1.7mm-1
21,14:32:37,co-a4-hc-2.8mm-1
22,14:32:38,co-a4-hc-1mm-1
23,14:32:38,co-a4-hc-1.2mm-1
24,14:33:28,co-a4-hc-2mm-1
25,14:33:28,co-a4-hc-2.4mm-1
26,14:33:28,co-a4-hc-3.4mm-1
27,14:33:29,co-a4-hc-1.4mm-1
28,14:33:29,co-a4-hc-1.7mm-1
29,14:33:29,co-a4-hc-2.8mm-1
30,14:33:30,co-a4-hc-1mm-1
31,14:33:30,co-a4-hc-1.2mm-1
32,14:33:33,co-a4-hc-3.4mm-1
33,14:33:34,co-a4-hc-2mm-1
34,14:33:34,co-a4-hc-2.4mm-1
35,14:33:34,co-a4-hc-2.8mm-1
36,14:33:35,co-a4-hc-1.4mm-1
37,14:33:35,co-a4-hc-1.7mm-1
38,14:33:36,co-a4-hc-1.2mm-1
39,14:33:39,co-a4-hc-2mm-1
40,14:33:39,co-a4-hc-2.4mm-1
41,14:33:39,co-a4-hc-3.4mm-1
42,14:33:39,co-a4-hc-2.8mm-1
43,14:33:40,co-a4-hc-1.4mm-1
44,14:33:40,co-a4-hc-1.7mm-1
45,14:33:41,co-a4-hc-1.2mm-1
46,14:33:43,co-a4-hc-1mm-1
47,14:33:44,co-a4-hc-2mm-1
48,14:33:44,co-a4-hc-2.4mm-1
49,14:33:44,co-a4-hc-3.4mm-1
50,14:33:45,co-a4-hc-1.4mm-1
51,14:33:45,co-a4-hc-1.7mm-1
52,14:33:47,co-a4-hc-1.2mm-1
53,14:35:39,co-a4-hc-3.4mm-1
54,14:35:39,co-a4-hc-1.7mm-1
55,14:35:40,co-a4-hc-2mm-1
56,14:35:40,co-a4-hc-1.2mm-1
57,14:35:40,co-a4-hc-1.4mm-1
58,14:35:40,co-a4-hc-2.4mm-1
59,14:35:40,co-a4-hc-2.8mm-1
60,14:35:42,co-a4-hc-1mm-1
61,14:35:45,co-a4-hc-3.4mm-1
