"Born2Shine"
"Thailand"
"24/06/2026"
"10:34:18"
detection,detectedtime,qrcode detected data
1,10:36:38,co-a4-hc-1.7mm-1
2,10:36:38,co-a4-hc-2mm-1
3,10:36:38,co-a4-hc-2.4mm-1
4,10:36:38,co-a4-hc-2.8mm-1
5,10:36:38,co-a4-hc-3.4mm-1
6,10:36:38,co-a4-hc-1mm-1
7,10:36:38,co-a4-hc-1.2mm-1
8,10:36:38,co-a4-hc-1.4mm-1
9,10:36:43,co-a4-hc-1.7mm-1
10,10:36:43,co-a4-hc-2mm-1
11,10:36:43,co-a4-hc-2.4mm-1
12,10:36:43,co-a4-hc-2.8mm-1
13,10:36:43,co-a4-hc-3.4mm-1
14,10:36:43,co-a4-hc-1mm-1
15,10:36:43,co-a4-hc-1.2mm-1
16,10:36:43,co-a4-hc-1.4mm-1
