"Born2Shine"
"Thailand"
"24/06/2026"
"10:27:14"
detection,detectedtime,qrcode detected data
1,10:28:25,co-a4-hc-1.7mm-1
2,10:28:25,co-a4-hc-2mm-1
3,10:28:25,co-a4-hc-2.4mm-1
4,10:29:48,co-a4-hc-1mm-1
5,10:29:48,co-a4-hc-3.4mm-1
6,10:29:49,co-a4-hc-2mm-1
7,10:29:50,co-a4-hc-1.2mm-1
8,10:29:53,co-a4-hc-3.4mm-1
9,10:29:54,co-a4-hc-2mm-1
10,10:29:55,co-a4-hc-1mm-1
11,10:29:55,co-a4-hc-1.2mm-1
12,10:29:59,co-a4-hc-3.4mm-1
13,10:30:01,co-a4-hc-2mm-1
14,10:30:02,co-a4-hc-1.2mm-1
15,10:30:03,co-a4-hc-1mm-1
16,10:30:03,co-a4-hc-1.4mm-1
17,10:30:04,co-a4-hc-2.4mm-1
18,10:30:04,co-a4-hc-2.8mm-1
19,10:30:04,co-a4-hc-3.4mm-1
20,10:30:05,co-a4-hc-1.7mm-1
21,10:30:06,co-a4-hc-2mm-1
22,10:30:07,co-a4-hc-1.2mm-1
23,10:30:08,co-a4-hc-1.4mm-1
24,10:30:09,co-a4-hc-2.4mm-1
25,10:30:09,co-a4-hc-2.8mm-1
26,10:30:09,co-a4-hc-3.4mm-1
27,10:30:10,co-a4-hc-1mm-1
28,10:30:10,co-a4-hc-1.7mm-1
29,10:30:12,co-a4-hc-2mm-1
30,10:30:12,co-a4-hc-1.2mm-1
31,10:30:13,co-a4-hc-1.4mm-1
