"Born2Shine"
"Thailand"
"20/06/2026"
"14:53:29"
detection,detectedtime,qrcode detected data
1,14:53:29,co-a4-hc-1mm-1
2,14:53:29,co-a4-hc-1.2mm-1
3,14:53:29,co-a4-hc-1.4mm-1
4,14:53:29,co-a4-hc-1.7mm-1
5,14:53:29,co-a4-hc-2mm-1
6,14:53:29,co-a4-hc-2.4mm-1
7,14:53:32,co-a4-hc-2.8mm-1
8,14:53:32,co-a4-hc-3.4mm-1
9,14:53:34,co-a4-hc-1.4mm-1
10,14:53:34,co-a4-hc-1.7mm-1
11,14:53:34,co-a4-hc-2mm-1
12,14:53:34,co-a4-hc-2.4mm-1
13,14:53:35,co-a4-hc-1.2mm-1
14,14:53:35,co-a4-hc-1mm-1
15,14:54:26,co-a4-hc-3.4mm-1
16,14:54:26,co-a4-hc-2.8mm-1
17,14:54:37,co-a4-hc-2mm-1
18,14:54:37,co-a4-hc-2.8mm-1
19,14:54:37,co-a4-hc-3.4mm-1
20,14:54:38,co-a4-hc-2.4mm-1
21,14:54:41,co-a4-hc-1.4mm-1
22,14:54:41,co-a4-hc-1.7mm-1
23,14:54:41,co-a4-hc-1.2mm-1
24,14:54:42,co-a4-hc-2mm-1
25,14:54:42,co-a4-hc-2.8mm-1
26,14:54:42,co-a4-hc-3.4mm-1
27,14:54:42,co-a4-hc-1mm-1
28,14:54:43,co-a4-hc-2.4mm-1
29,14:54:46,co-a4-hc-1.4mm-1
30,14:54:46,co-a4-hc-1.7mm-1
31,14:54:46,co-a4-hc-1.2mm-1
32,14:54:47,co-a4-hc-2mm-1
33,14:54:47,co-a4-hc-2.8mm-1
34,14:54:47,co-a4-hc-3.4mm-1
