"Born2Shine"
"Thailand"
"20/06/2026"
"14:33:44"
detection,detectedtime,qrcode detected data
1,14:33:51,co-a4-hc-3.4mm-1
2,14:33:52,co-a4-hc-2mm-1
3,14:33:53,co-a4-hc-1mm-1
4,14:33:53,co-a4-hc-1.4mm-1
5,14:33:53,co-a4-hc-1.2mm-1
6,14:33:55,co-a4-hc-2.4mm-1
7,14:33:57,co-a4-hc-3.4mm-1
8,14:33:57,co-a4-hc-1.7mm-1
9,14:33:57,co-a4-hc-2mm-1
10,14:33:57,co-a4-hc-2.8mm-1
11,14:33:58,co-a4-hc-1.4mm-1
12,14:34:01,co-a4-hc-1mm-1
13,14:34:02,co-a4-hc-1.7mm-1
14,14:34:03,co-a4-hc-1.2mm-1
15,14:34:03,co-a4-hc-1.4mm-1
16,14:34:07,co-a4-hc-1mm-1
17,14:34:08,co-a4-hc-1.7mm-1
18,14:34:27,co-a4-hc-1.7mm-1
19,14:34:27,co-a4-hc-1mm-1
20,14:34:28,co-a4-hc-1.4mm-1
