"Born2Shine"
"Thailand"
"20/06/2026"
"17:38:31"
detection,detectedtime,qrcode detected data
1,17:38:31,co-a4-hc-2.4mm-1
2,17:38:32,co-a4-hc-1.7mm-1
3,17:38:34,co-a4-hc-1.4mm-1
4,17:38:34,co-a4-hc-2.8mm-1
5,17:38:35,co-a4-hc-2mm-1
6,17:38:35,co-a4-hc-1mm-1
7,17:38:35,co-a4-hc-1.2mm-1
8,17:38:35,co-a4-hc-3.4mm-1
9,17:38:37,co-a4-hc-1.7mm-1
10,17:38:38,co-a4-hc-2.4mm-1
11,17:38:39,co-a4-hc-2.8mm-1
12,17:38:41,co-a4-hc-1.4mm-1
13,17:38:41,co-a4-hc-2mm-1
14,17:38:41,co-a4-hc-1.2mm-1
15,17:38:41,co-a4-hc-1mm-1
16,17:38:42,co-a4-hc-1.7mm-1
17,17:38:43,co-a4-hc-3.4mm-1
18,17:38:43,co-a4-hc-2.4mm-1
19,17:38:46,co-a4-hc-1.4mm-1
