"Born2Shine"
"Thailand"
"22/06/2026"
"19:14:27"
detection,detectedtime,qrcode detected data
1,19:14:27,co-a4-hc-1.2mm-1
2,19:14:27,co-a4-hc-1.4mm-1
3,19:14:27,co-a4-hc-2mm-1
4,19:14:27,co-a4-hc-3.4mm-1
5,19:14:29,co-a4-hc-1.7mm-1
6,19:14:30,co-a4-hc-2.4mm-1
7,19:14:31,co-a4-hc-1mm-1
8,19:14:31,co-a4-hc-2.8mm-1
9,19:14:33,co-a4-hc-1.2mm-1
10,19:14:33,co-a4-hc-1.4mm-1
11,19:14:33,co-a4-hc-2mm-1
12,19:14:34,co-a4-hc-1.7mm-1
13,19:14:35,co-a4-hc-2.4mm-1
14,19:14:36,co-a4-hc-1mm-1
15,19:14:36,co-a4-hc-2.8mm-1
16,19:14:38,co-a4-hc-2mm-1
17,19:14:38,co-a4-hc-1.2mm-1
18,19:14:38,co-a4-hc-1.4mm-1
19,19:14:38,co-a4-hc-3.4mm-1
20,19:14:40,co-a4-hc-1.7mm-1
21,19:14:40,co-a4-hc-2.4mm-1
22,19:14:41,co-a4-hc-1mm-1
23,19:15:22,co-a4-hc-3.4mm-1
24,19:15:27,co-a4-hc-2.8mm-1
25,19:15:27,co-a4-hc-3.4mm-1
26,19:16:43,co-a4-hc-3.4mm-1
27,19:16:43,co-a4-hc-2mm-1
