"Born2Shine"
"Thailand"
"24/06/2026"
"09:30:55"
detection,detectedtime,qrcode detected data
1,09:30:56,co-a4-hc-1.7mm-1
2,09:30:56,co-a4-hc-2mm-1
3,09:30:56,co-a4-hc-2.4mm-1
4,09:30:56,co-a4-hc-2.8mm-1
5,09:30:56,co-a4-hc-3.4mm-1
6,09:31:00,co-a4-hc-1.4mm-1
7,09:31:01,co-a4-hc-3.4mm-1
8,09:31:02,co-a4-hc-1.7mm-1
9,09:31:02,co-a4-hc-2mm-1
10,09:31:02,co-a4-hc-2.4mm-1
11,09:31:02,co-a4-hc-2.8mm-1
12,09:31:07,co-a4-hc-3.4mm-1
13,09:31:07,co-a4-hc-1mm-1
14,09:31:07,co-a4-hc-1.2mm-1
15,09:31:08,co-a4-hc-1.4mm-1
16,09:31:08,co-a4-hc-1.7mm-1
17,09:31:08,co-a4-hc-2mm-1
18,09:31:08,co-a4-hc-2.4mm-1
19,09:31:08,co-a4-hc-2.8mm-1
20,09:31:12,co-a4-hc-3.4mm-1
21,09:31:13,co-a4-hc-2mm-1
22,09:31:13,co-a4-hc-2.4mm-1
23,09:31:13,co-a4-hc-2.8mm-1
24,09:31:13,co-a4-hc-1.4mm-1
25,09:31:13,co-a4-hc-1.7mm-1
26,09:31:15,co-a4-hc-1mm-1
27,09:31:15,co-a4-hc-1.2mm-1
