"Born2Shine"
"Thailand"
"22/06/2026"
"10:20:57"
detection,detectedtime,qrcode detected data
1,10:21:04,co-a4-hc-2mm-1
2,10:21:04,co-a4-hc-3.4mm-1
3,10:21:04,co-a4-hc-1mm-1
4,10:21:04,co-a4-hc-1.2mm-1
5,10:21:04,co-a4-hc-1.4mm-1
6,10:21:04,co-a4-hc-1.7mm-1
7,10:21:07,co-a4-hc-2.4mm-1
8,10:21:09,co-a4-hc-2mm-1
9,10:21:09,co-a4-hc-1.4mm-1
10,10:21:10,co-a4-hc-1mm-1
11,10:21:10,co-a4-hc-1.2mm-1
12,10:21:10,co-a4-hc-1.7mm-1
13,10:21:12,co-a4-hc-2.4mm-1
14,10:21:13,co-a4-hc-3.4mm-1
15,10:21:15,co-a4-hc-2.8mm-1
16,10:21:15,co-a4-hc-1.2mm-1
17,10:21:15,co-a4-hc-1.4mm-1
18,10:21:15,co-a4-hc-1.7mm-1
19,10:21:15,co-a4-hc-2mm-1
20,10:21:18,co-a4-hc-2.4mm-1
21,10:21:18,co-a4-hc-3.4mm-1
22,10:21:20,co-a4-hc-2.8mm-1
23,10:21:21,co-a4-hc-2mm-1
24,10:21:23,co-a4-hc-2.4mm-1
25,10:21:23,co-a4-hc-3.4mm-1
26,10:21:25,co-a4-hc-2.8mm-1
27,10:21:26,co-a4-hc-1.2mm-1
28,10:21:26,co-a4-hc-1.4mm-1
29,10:21:26,co-a4-hc-1.7mm-1
30,10:21:26,co-a4-hc-1mm-1
31,10:21:26,co-a4-hc-2mm-1
32,10:21:28,co-a4-hc-2.4mm-1
33,10:22:51,co-a4-hc-3.4mm-1
34,10:22:51,co-a4-hc-2.8mm-1
35,10:22:55,co-a4-hc-2.4mm-1
36,10:22:56,co-a4-hc-2mm-1
37,10:22:56,co-a4-hc-3.4mm-1
38,10:22:56,co-a4-hc-2.8mm-1
39,10:23:01,co-a4-hc-1.2mm-1
40,10:23:01,co-a4-hc-1.4mm-1
41,10:23:01,co-a4-hc-2mm-1
42,10:23:02,co-a4-hc-1mm-1
43,10:23:02,co-a4-hc-1.7mm-1
44,10:23:02,co-a4-hc-2.4mm-1
45,10:23:07,co-a4-hc-1.2mm-1
46,10:23:07,co-a4-hc-1.4mm-1
47,10:23:07,co-a4-hc-2mm-1
48,10:23:08,co-a4-hc-3.4mm-1
49,10:23:09,co-a4-hc-2.8mm-1
50,10:23:20,co-a4-hc-2.4mm-1
51,10:23:20,co-a4-hc-2.8mm-1
52,10:23:20,co-a4-hc-3.4mm-1
53,10:23:22,co-a4-hc-1.7mm-1
54,10:23:22,co-a4-hc-2mm-1
55,10:23:24,co-a4-hc-1.4mm-1
56,10:23:24,co-a4-hc-1mm-1
57,10:23:24,co-a4-hc-1.2mm-1
58,10:23:25,co-a4-hc-2.4mm-1
59,10:23:28,co-a4-hc-1.7mm-1
60,10:23:28,co-a4-hc-2mm-1
61,10:23:29,co-a4-hc-1.4mm-1
62,10:23:29,co-a4-hc-1mm-1
63,10:23:29,co-a4-hc-1.2mm-1
64,10:23:30,co-a4-hc-2.4mm-1
65,10:23:33,co-a4-hc-1.7mm-1
66,10:23:33,co-a4-hc-2mm-1
67,10:23:34,co-a4-hc-3.4mm-1
