n,id,time,map_x,map_y,yaw
1,co-a4-hc-1.2mm-1,11:46:59,1.2078,1.6165,-2.5583
7,co-a4-hc-3.4mm-1,11:47:05,1.1822,1.6360,-2.3974
15,co-a4-hc-3.4mm-1,11:47:10,1.2802,1.5480,-2.4371
23,co-a4-hc-3.4mm-1,11:47:15,1.2734,1.5548,-2.4508
